1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1828,0,0,0,48,7,1774,774,3,2007,1828,2,11694,90,452,108,5,9,1822,2007,2007,314813
894,0,2,3,0,6,894,308,4,1962,894,3,6600,60,0,0,5,5,894,1962,1962,109500
964,0,2,3,713,0,163,432,3,1921,964,3,13360,80,0,0,7,5,876,1921,2006,163500
1689,0,3,3,1218,2,350,857,2,2002,1689,2,13265,69,148,59,5,8,1568,2002,2002,271000
1541,0,3,3,0,6,1541,843,2,2001,1541,2,13704,118,150,81,5,7,1541,2001,2002,205000
1221,0,2,3,410,2,811,400,2,2004,1221,2,7500,62,0,113,5,7,1221,2004,2005,185000
1324,0,3,3,643,5,445,440,4,1965,1324,3,8658,84,101,138,5,6,1088,1965,1965,160000
696,720,3,3,604,0,92,484,3,1999,1416,2,2572,24,0,44,5,7,696,1999,1999,155000
526,462,2,1,462,2,0,297,3,1973,988,3,1596,21,0,101,5,4,462,1973,1973,91000
869,349,3,3,375,0,360,440,3,2003,1218,3,6000,60,0,0,6,6,735,1941,1950,131000
760,896,3,3,0,6,746,397,0,2003,1656,2,6931,60,92,128,5,7,746,2003,2004,165400
1362,0,2,0,20,0,1342,460,4,2005,1362,2,7577,61,256,28,5,6,1362,2005,2006,194700
1051,788,4,3,0,6,756,442,3,1966,1839,3,7700,70,351,124,5,6,756,1966,1966,155000
1375,0,2,3,0,6,1367,451,3,1954,1375,3,11310,75,0,30,5,6,1367,1954,1954,140000
1122,0,2,3,144,2,172,528,3,1948,1122,2,12000,100,0,36,7,5,924,1948,2005,147000
1432,0,2,1,680,0,289,588,3,1978,1432,2,16157,69,0,180,7,5,1360,1978,1978,194000
728,728,3,0,0,6,728,400,0,2007,1456,2,9018,65,0,24,5,7,728,2007,2007,179540
1217,0,3,0,611,2,577,497,3,1990,1217,2,9947,69,0,27,5,7,1188,1990,1991,173000
1040,0,2,4,0,4,0,625,3,1950,1040,3,7200,60,0,0,7,5,0,1950,1950,109500
612,612,2,0,294,2,318,528,2,2009,1224,2,3000,30,76,234,5,6,612,2009,2009,173733
1022,752,2,3,0,6,952,468,3,1931,1774,3,6120,51,0,0,5,7,952,1931,1950,129900
961,406,4,3,241,5,229,384,3,1978,1367,3,8405,50,0,130,8,5,861,1900,1950,119000
803,557,2,3,0,6,803,297,4,1951,1360,2,7200,60,0,65,6,5,803,1938,1995,125500
848,0,1,0,697,2,151,420,2,2004,848,2,4426,69,147,0,5,6,848,2004,2004,149300
1482,780,0,1,871,2,611,749,0,2003,2262,2,12244,85,226,0,5,8,1482,2003,2003,305000
1220,0,2,3,836,3,0,396,3,1951,1220,3,8877,67,0,0,5,4,836,1951,1951,102000
1414,0,2,3,0,6,1375,398,0,2004,1414,2,3072,69,18,20,5,7,1375,2004,2004,178740
1134,924,3,3,319,5,416,396,3,1950,2058,3,9600,60,0,0,5,6,735,1917,1950,129500
1088,110,4,3,0,7,901,0,4,0,1198,3,5586,60,0,98,7,6,901,1920,1998,79900
1659,0,2,3,1158,2,343,499,0,2000,1659,0,5664,40,0,59,5,8,1501,2000,2000,278000
1012,0,2,3,0,6,1012,308,3,1920,1012,3,8263,59,0,22,5,6,1012,1920,1950,118400
1687,998,5,3,523,2,301,672,0,1970,3082,3,15863,102,0,63,3,7,824,1920,1970,197000
1032,0,4,3,0,6,360,672,3,1999,1812,2,7630,76,0,0,9,5,360,1900,1996,140000
1057,872,3,3,738,7,319,650,0,2001,1929,2,7050,69,0,235,5,7,1057,2001,2001,226000
954,0,3,0,483,0,428,576,3,1976,954,3,10780,55,0,0,5,5,911,1976,1976,132500
1838,0,2,0,1260,2,578,765,4,2006,1838,0,14601,85,584,68,5,9,1838,2006,2006,315000
1640,0,3,3,728,1,568,924,3,1993,1640,2,14778,69,72,0,7,6,1296,1954,2006,224000
1148,0,3,3,1148,1,0,672,3,1959,1148,3,7931,70,0,0,5,5,1148,1959,1959,132500
950,0,0,3,412,1,251,280,3,1981,950,3,9758,61,0,0,5,5,950,1971,1971,119500
1065,846,3,3,380,7,397,471,2,1993,1911,2,9554,80,125,81,5,8,777,1993,1994,215000
915,720,3,3,300,5,765,440,3,1950,1635,3,8737,70,0,38,7,6,1065,1923,1950,210000
1316,0,3,0,0,7,1316,440,0,2007,1316,2,11175,103,0,20,5,7,1316,2007,2007,200141
1442,0,2,3,0,6,1442,615,2,1970,1442,3,11717,69,571,0,6,6,1442,1970,1970,185000
1078,0,3,3,734,2,344,500,0,1971,1078,3,12537,69,0,0,6,5,1078,1971,2008,149900
1120,0,3,3,932,0,108,544,2,1961,1120,1,6970,85,0,0,5,4,1040,1961,1961,129000
779,640,3,3,353,2,55,527,0,2002,1419,2,7750,69,0,0,5,8,408,2002,2002,184100
707,682,3,3,0,6,651,240,3,1947,1389,3,3378,60,0,0,8,7,651,1946,1992,135000
1063,0,3,3,354,5,412,280,2,1954,1063,3,9920,80,110,0,5,5,1056,1954,1954,128000
1792,0,2,1,1567,2,225,874,0,2003,1792,0,11846,72,562,49,5,9,1792,2003,2004,374000
1216,0,2,3,897,2,319,402,3,1998,1216,3,4500,32,116,125,5,6,1216,1998,1998,164000
998,764,4,3,0,6,596,576,3,1989,1762,2,7200,60,0,0,7,7,596,1920,1950,157000
847,1112,4,0,0,6,847,434,0,2004,1959,2,11796,59,0,48,5,7,847,2004,2005,215000
1208,0,3,3,767,0,441,546,2,1977,1208,3,11250,69,0,42,6,6,1208,1977,1977,165000
874,650,3,3,460,1,414,315,3,1958,1524,3,11344,78,180,0,5,5,874,1958,1958,144000
796,358,3,3,735,1,61,240,3,1922,1154,2,5436,40,0,96,8,4,796,1922,2007,125500
1048,0,3,4,0,4,0,420,3,1950,1048,3,7200,60,0,27,5,5,0,1950,1950,98300
886,0,2,3,0,6,190,273,3,1938,886,3,5784,50,0,20,8,5,190,1938,1996,91300
943,0,2,1,943,2,0,600,3,1979,943,3,7032,69,0,0,5,5,943,1979,1979,135960
866,902,3,3,400,2,466,603,2,2005,1768,2,9803,75,0,108,5,7,866,2005,2005,226700
1422,1177,4,3,0,6,1393,779,0,1999,2599,2,14774,108,165,30,5,9,1393,1999,1999,333168
912,0,2,3,456,5,456,275,2,1958,912,3,10150,70,1,0,5,5,912,1958,1958,114500
882,0,2,4,0,4,0,308,3,1956,882,3,12702,70,0,45,5,5,0,1956,1956,97000
1337,0,2,3,266,2,1139,511,0,1998,1337,2,4060,34,0,68,5,6,1405,1998,1999,181000
2076,0,2,1,1386,2,690,850,4,2006,2076,0,13891,107,0,229,5,10,2076,2006,2006,465000
1328,1203,4,0,56,3,1198,752,2,1995,2531,2,12257,65,513,98,5,8,1318,1995,1995,290000
981,787,3,3,569,0,162,240,3,1939,1768,2,7200,60,252,0,7,5,731,1937,1950,175000
1625,0,2,1,1573,7,0,538,4,2006,1625,2,4750,44,481,0,5,8,1573,2006,2007,235000
1444,700,4,1,697,5,747,389,0,1958,2144,2,159000,69,472,98,7,6,1444,1958,2006,277000
1521,0,0,3,0,6,1237,880,3,1988,2775,2,13500,75,0,502,9,10,1237,1893,2000,325000
1140,728,3,3,0,6,585,477,0,1984,1868,3,12090,78,74,112,7,6,585,1984,2003,178000
1525,0,3,0,1400,2,125,541,2,2000,1525,2,9100,70,244,36,5,7,1525,2000,2000,235000
1571,0,3,1,0,7,1571,722,0,2007,1571,2,10991,89,80,36,5,8,1571,2007,2007,239000
796,0,2,3,0,6,796,0,1,0,796,3,8777,67,0,0,7,5,796,1910,1950,85000
1378,994,4,3,0,6,994,432,2,1985,2372,3,6600,60,0,287,4,5,994,1892,1965,107500
802,670,3,3,0,6,384,402,2,1991,1472,2,10784,69,76,0,5,7,384,1991,1992,160000
960,0,0,0,648,2,0,364,3,1965,960,3,10246,69,0,0,9,4,648,1965,2001,145000
734,1104,4,0,0,6,732,372,0,2005,1838,3,21930,60,0,40,5,5,732,2005,2005,192140
1309,0,3,3,663,0,0,484,2,1974,1309,2,10140,78,99,0,6,6,1040,1974,1999,181000
2069,574,3,0,0,6,2153,694,0,2006,2643,0,13693,105,772,84,5,9,2153,2006,2006,380000
676,455,0,3,0,6,676,200,3,1941,1131,3,5720,52,0,0,6,5,676,1941,1950,66500
960,1000,4,3,0,6,960,400,3,1952,1960,3,7596,60,360,0,5,5,960,1952,1952,124500
1144,0,3,3,25,1,247,336,3,1962,1144,3,9204,71,0,88,5,5,1144,1963,1963,124000
1056,0,0,3,1056,2,0,576,3,1980,1056,3,6979,64,0,56,5,6,1056,1980,1980,144000
693,0,2,3,0,7,693,0,1,0,693,1,4118,153,0,20,4,4,693,1941,1950,52500
1494,0,3,1,1200,2,279,576,2,1997,1494,2,9236,79,0,27,5,6,1479,1997,1997,217000
1646,0,2,1,1373,2,221,482,0,2004,1646,2,3842,44,174,53,5,8,1594,2004,2005,275000
864,0,3,0,390,0,474,352,3,1989,864,3,7180,60,0,0,7,5,864,1972,1972,127000
1566,0,3,0,1078,2,488,750,2,2008,1566,2,9000,75,36,168,5,8,1566,2008,2008,262500
735,660,3,3,593,1,130,497,3,1972,1395,3,12936,69,0,116,6,6,723,1972,1972,162000
848,0,2,3,152,1,628,539,3,1962,1208,3,6240,52,0,23,5,4,780,1925,1950,103000
939,574,4,2,0,6,939,180,3,1933,1513,3,6120,51,0,0,8,5,939,1920,2004,137500
959,408,3,3,425,3,459,560,4,1978,1367,3,6240,52,0,0,6,6,884,1931,1950,127500
955,0,3,3,763,1,192,386,3,1966,955,3,7742,66,0,0,7,5,955,1966,1966,127000
1077,0,3,3,0,6,1007,210,3,1922,1077,3,9786,60,0,100,4,3,1007,1922,1950,91000
1056,0,3,2,1056,5,0,572,0,1955,1056,3,34650,100,0,0,5,5,1056,1955,1955,145000
756,797,3,3,0,6,756,615,2,2005,1553,2,8125,65,0,45,5,7,756,2005,2006,186500
1614,0,3,0,20,2,1594,865,2,2005,1614,2,11210,86,240,59,5,7,1614,2005,2006,221500
2042,0,3,3,0,7,2042,1390,2,2009,2042,0,12704,98,306,90,5,8,2042,2008,2009,253293
1073,0,2,3,0,6,1073,326,4,1968,1073,3,5400,60,0,0,6,5,1073,1921,1968,108480
1072,213,2,3,336,1,295,240,3,1948,1285,3,8635,50,0,0,5,5,672,1948,2001,127000
2117,0,4,2,865,1,340,550,0,1970,2117,3,12925,69,0,42,7,6,1205,1970,1970,237500
605,0,2,2,348,7,180,0,4,0,605,3,9098,58,0,0,7,4,528,1920,2002,86000
1150,0,3,3,179,0,465,300,2,1959,1150,3,7945,70,0,0,6,5,1150,1959,1959,141000
728,728,0,3,0,6,728,400,4,2005,1456,2,8029,51,0,24,5,6,728,2005,2005,176000
999,0,3,0,867,0,77,588,2,1961,999,0,12122,69,210,76,9,7,944,1961,2007,178400
750,750,3,3,0,6,750,564,2,2005,1500,2,8846,68,0,35,5,6,750,2005,2006,173900
1336,0,2,2,841,1,324,375,3,1953,1336,3,15750,90,56,0,5,5,1165,1953,1953,157000
864,729,3,3,759,2,80,398,4,2004,1593,3,7415,62,0,75,5,6,839,2004,2004,193000
1130,1054,3,0,936,2,168,836,0,2008,2184,0,11308,96,154,102,5,9,1104,2008,2008,335000
1560,0,3,3,0,6,1560,573,0,2003,1560,2,9196,129,0,150,5,7,1560,2003,2003,201000
888,0,3,3,386,3,342,312,3,1942,1644,2,9480,79,224,0,7,5,728,1942,1995,146500
630,0,0,0,515,2,115,286,3,1970,630,2,1526,21,0,0,8,4,630,1970,2002,86000
1113,0,3,3,751,1,392,504,2,1987,1113,3,7917,69,174,30,7,6,1143,1976,1976,148000
1071,1101,0,3,0,6,1063,947,2,2006,2172,2,14154,109,350,62,5,7,1063,2006,2006,280000
796,550,2,3,0,6,560,384,3,1950,1346,3,11767,70,0,24,7,4,560,1910,2000,112000
1184,1426,4,0,64,2,1120,550,0,2007,2610,0,9000,75,0,364,5,8,1184,2007,2007,303477
1026,932,3,3,0,6,1026,936,0,2005,1958,2,10625,85,0,210,5,7,1026,2005,2005,250000
1468,0,3,3,0,6,1468,898,0,2008,1468,2,9612,74,72,150,5,8,1468,2008,2009,244600
1302,432,4,4,0,4,0,539,3,1977,1734,2,10125,75,0,0,5,5,0,1977,1977,126000
768,432,3,3,352,1,416,240,3,1946,1200,3,11767,70,0,0,6,5,768,1946,1995,130500
1112,438,2,3,812,2,280,438,0,2007,1550,2,8125,65,100,168,5,7,1092,2006,2007,241000
954,795,5,3,0,6,795,440,3,1997,2230,3,6204,60,0,188,5,4,795,1912,1950,118500
1166,0,3,3,0,6,1064,240,3,1936,1639,3,10480,51,0,0,5,6,1064,1936,1950,115000
864,0,3,3,521,1,169,624,4,1964,864,3,9100,70,0,0,5,5,864,1958,1958,129900
1621,0,3,2,213,0,995,440,4,1984,1621,2,14145,91,0,45,7,7,1208,1984,1998,202500
483,504,0,3,162,0,321,264,3,1972,987,2,1680,21,510,0,8,6,483,1972,2007,118000
1238,1281,4,1,965,2,245,628,2,1989,2519,2,26178,42,293,27,5,7,1210,1989,1990,335000
765,600,3,3,765,3,0,440,3,1970,1365,3,2368,24,312,36,6,5,765,1970,1970,125000
1149,1141,4,2,0,6,1128,779,3,2002,2290,2,11250,69,0,0,5,8,1128,2002,2002,255900
1249,1347,4,0,0,6,1249,840,2,2006,2596,2,16259,111,370,154,5,9,1249,2006,2006,342643
907,0,3,3,288,5,619,352,3,1964,907,3,8593,77,0,0,6,4,907,1957,1957,109008
855,0,3,3,566,0,289,440,4,1976,1456,3,2280,24,0,0,6,6,855,1976,1976,148500
